;Gender;Age;Residence;Education;Occupation;Environmental_affect;Everyday_affect;Time_to_degrade;Recycling_symbol;Microplastic_in_food;Chemical_absorbtion;Recycle_plastic;Product_use;usage_reason;plastic_over_other;purchase_behaviour;ensure_biodegradable;microwavesafe;takeyourbag;location_of_usage;food_in_bag;bag_reuse;bottle_reuse;cleaning_responsibility;dispose_outdoor;waste_around_you;disposal_behaviour;special_bins;negative_impact;teaching_kids;awareness_source;way_to_reduce;willing_to_adopt;alternatives;survival_without_plastic
54;Female;Middle Aged;Shalamar;University;Student;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;50 years;No;Neutral;Strongly Agree;Agree;Bottle,  Food containers,                    Snack Bag;Lightweight,        Easily Available;Sometimes;Not at all;Sometimes;Sometimes;Often;Home;Usually;2-1 years;Few months;Often;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Agree;Paper bag;Agree
55;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Health;Never degrade;I never saw it;Neutral;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low;Usually;1- 10;Sometimes;Often;Sometimes;Outdoor;Always;Don’t reuse;Didn’t reuse;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Agree;Cloth bag;Strongly Agree
56;Female;Young;Cantonement;University;Student;Strongly Agree;Sewage System;Don’t know;I never saw it;Strongly Agree;Strongly Agree;Strongly Disagree;Bottle;Easily Available;Sometimes;1- 10;Never;Sometimes;Never;Home;Usually;One time;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;News;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Agree
57;Male;Young;Ravi;University;Employee;Strongly Agree;Marine life,          Deterioration of Natural Beauty,             Sewage System;500 years;Yes;Agree;Strongly Agree;Disagree;Bottle,                              Buckets,  Food containers,                    Snack Bag,                                    Other;Lightweight,        Easily Available;Usually;1- 10;Never;Never;Never;Office;Always;more than 5;Few months;Usually;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;No;I think about negative impact and look for the alternative;No;Own experience;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
58;Male;Young;Cantonement;College;Student;Strongly Agree;Marine life,                            Health,             Sewage System;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,                         Lightweight,        Easily Available;Often;11 - 25;Sometimes;Sometimes;Never;Home;Always;One time;Few months;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;No;Family /friends;Corporate responsibility and sustainability initiatives;Strongly Agree;Glass;Strongly Agree
59;Female;Young;Shalamar;College;Student;Agree;Health;Never degrade;No;Agree;Agree;Disagree;Snack Bag;Easily Available;Often;More than 25;Never;Never;Never;Outdoor;Always;Don’t reuse;Few months;Usually;Carry it with you to dispose of later or when you reach home;Ignore it;Open Dumping;No;I don't think about the negative impact of plastic;No;Social media;Government regulations and bans;Agree;Paper bag;Agree
60;Female;Middle Aged;Samnabad;University;Housewife;Strongly Agree;Marine life,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Neutral;Agree;Disagree;Bottle,  Food containers,                    Snack Bag,                                 Utensil;Lightweight,        Easily Available;Usually;More than 25;Usually;Sometimes;Never;Home;Often;more than 5;Few weeks;Always;Dump in near by trash can;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
61;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;500 years;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Often;11 - 25;Never;Never;Sometimes;Home;Usually;2-1 years;Few months;Sometimes;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
62;Female;Young;Iqbal Town;University;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,                                   Slipper,                    Snack Bag;Price is Low,                         Lightweight;Sometimes;1- 10;Often;Sometimes;Never;Outdoor;Often;more than 5;Few months;Often;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
63;Male;Young;Iqbal Town;University;Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;500 years;No;Agree;Strongly Agree;Strongly Disagree;Bottle,                          Bags,  Food containers,                    Snack Bag,                                 Utensil;Lightweight,        Easily Available,               No Alternatives;Usually;More than 25;Usually;Often;Usually;Outdoor;Usually;Don’t reuse;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Paper bag;Strongly Agree
64;Male;Young;Iqbal Town;University;Working Student;Strongly Agree;Marine life;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Agree;Bags,                                   Slipper,                    Snack Bag,                                    Other;No Alternatives;Usually;1- 10;Never;Never;Never;Home;Usually;more than 5;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
65;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                              Buckets,  Food containers;Easily Available;Sometimes;1- 10;Sometimes;Always;Often;Home;Often;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;No;Campaigns;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
66;Female;Young;Ravi;University;Employee;Strongly Agree;Health,             Sewage System,                  Local economy;Never degrade;I never saw it;Agree;Neutral;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                    Snack Bag;Easily Available,               No Alternatives;Sometimes;1- 10;Never;Often;Sometimes;Outdoor;Always;2-1 years;Few months;Usually;Dump in near by trash can;Ignore it;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Disagree
67;Other;Young;Iqbal Town;Nothing;Businessman;Strongly Agree;Marine life,                        Nothing;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,        Easily Available,               No Alternatives;Always;More than 25;Never;Usually;Never;Home;Always;Don’t reuse;Didn’t reuse;Never;Throw it on ground;Ignore it;Sort through proper channels;No;I don't think about the negative impact of plastic;No;Campaigns;Corporate responsibility and sustainability initiatives;Neutral;No, I am okay with plastic;Strongly Disagree
68;Male;Young;Cantonement;University;Student;Agree;Marine life,             Sewage System,                  Local economy;Never degrade;Yes;Neutral;Neutral;Strongly Agree;Bottle,                          Bags,  Food containers,                                  Bowls,                                   Slipper;Lightweight,        Easily Available;Usually;1- 10;Usually;Usually;Always;Home;Sometimes;Don’t reuse;Few weeks;Always;Dump in near by trash can;Always pick it up;Sell;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Campaigns;Government regulations and bans;Agree;Cloth bag;Neutral
69;Female;Young;Samnabad;University;Student;Strongly Agree;Sewage System;Don’t know;No;Neutral;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Easily Available;Usually;More than 25;Never;Sometimes;Often;Outdoor;Always;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
70;Female;Young;Iqbal Town;University;Employee;Agree;Health;Don’t know;No;Agree;Agree;Agree;Snack Bag,                                 Utensil;Easily Available;Sometimes;1- 10;Often;Often;Sometimes;Outdoor;Always;One time;One time;Always;Dump in near by trash can;Always pick it up;Burning;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Agree;Paper bag;Disagree
71;Female;Young;Iqbal Town;University;Unemployed;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Agree;Strongly Agree;Disagree;Bottle,                          Bags,                              Buckets,  Food containers,                                   Slipper,                    Snack Bag;Easily Available,               No Alternatives;Sometimes;1- 10;Sometimes;Often;Usually;Outdoor;Always;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
72;Female;Young;Iqbal Town;University;Working Student;Strongly Agree;Health;Never degrade;I never saw it;Neutral;Neutral;Agree;Bottle;Easily Available;Never;Not at all;Sometimes;Always;Always;Outdoor;Always;One time;One time;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Agree
73;Male;Young;Shalamar;University;Student;Strongly Agree;Marine life;Never degrade;No;Neutral;Agree;Strongly Agree;Bottle,                              Buckets,                                 Utensil,                                    Other;Easily Available;Sometimes;11 - 25;Often;Always;Always;Home;Usually;Don’t reuse;Few weeks;Usually;Dump in near by trash can;Ignore it;Burying;Yes;I don't think about the negative impact of plastic;Yes;Radio;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Agree
74;Male;Young;Cantonement;University;Unemployed;Strongly Agree;Sewage System;Never degrade;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Bottle;Easily Available;Usually;Not at all;Never;Never;Usually;Outdoor;Often;One time;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
75;Male;Young;Cantonement;University;Employee;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Don’t know;I never saw it;Agree;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,                                  Bowls,                    Snack Bag,                                 Utensil,                                    Other;Easily Available,               No Alternatives;Never;1- 10;Never;Never;Never;Home;Always;more than 5;Few months;Always;Dump in near by trash can;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Corporate responsibility and sustainability initiatives;Strongly Agree;Paper bag;Agree
76;Female;Young;Cantonement;University;Housewife;Disagree;Nothing;Don’t know;No;Disagree;Disagree;Disagree;Bottle;Easily Available;Usually;1- 10;Often;Usually;Often;Home;Sometimes;more than 5;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Always pick it up;Open Dumping;No;I don't think about the negative impact of plastic;Yes;Social media;Government regulations and bans;Disagree;Glass;Disagree
77;Female;Young;Shalamar;University;Student;Neutral;Marine life,                            Health;days50;Yes;Neutral;Neutral;Neutral;Food containers,                    Snack Bag;Lightweight;Usually;1- 10;Usually;Usually;Often;Home;Usually;more than 5;Few weeks;Often;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Burying;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Neutral;Glass;Neutral
78;Female;Young;Data gunj buksh;University;Unemployed;Strongly Agree;Health;Never degrade;No;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                    Snack Bag;Price is Low,                         Lightweight,        Easily Available;Sometimes;1- 10;Never;Always;Never;Outdoor;Often;2-1 years;Few months;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Institute;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
79;Female;Young;Nishter;University;Employee;Agree;Deterioration of Natural Beauty;Don’t know;I never saw it;Agree;Agree;Strongly Agree;Bottle,                          Bags,  Food containers,                    Snack Bag;Lightweight;Usually;1- 10;Never;Sometimes;Often;Home;Usually;One time;Few weeks;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Agree
80;Female;Young;Nishter;University;Employee;Agree;Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,                         Lightweight,        Easily Available;Usually;More than 25;Usually;Never;Never;Outdoor;Usually;more than 5;One time;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Own experience;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
81;Female;Young;Ravi;College;Housewife;Agree;Marine life,                            Health,             Sewage System;Don’t know;I never saw it;Agree;Agree;Strongly Agree;Bottle,                              Buckets,                                   Slipper,                                 Utensil;Easily Available;Sometimes;Not at all;Usually;Sometimes;Usually;Home;Always;more than 5;Few weeks;Always;Dump in near by trash can;Ignore it;Sell;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Corporate responsibility and sustainability initiatives;Agree;Cloth bag;Agree
82;Female;Young;Shalamar;University;Employee;Strongly Agree;Marine life;Don’t know;Yes;Agree;Agree;Agree;Bottle,                          Bags,  Food containers,                                   Slipper;Easily Available;Often;1- 10;Sometimes;Often;Always;Outdoor;Sometimes;more than 5;Few weeks;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Strongly Agree
83;Male;Young;Data gunj buksh;University;Student;Strongly Agree;Marine life,             Sewage System;50 years;No;Agree;Agree;Strongly Agree;Bottle,                          Bags,                                 Utensil;Easily Available;Usually;1- 10;Never;Sometimes;Sometimes;Home;Always;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
84;Female;Young;Nishter;University;Student;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Don’t know;I never saw it;Neutral;Strongly Agree;Disagree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Lightweight,        Easily Available;Often;1- 10;Never;Often;Usually;Outdoor;Always;One time;Didn’t reuse;Usually;Dump in near by trash can;Always pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Institute;Individual behavior change;Agree;Paper bag;Agree
85;Female;Middle Aged;Cantonement;University;Employee;Strongly Agree;Sewage System;500 years;Yes;Strongly Agree;Neutral;Strongly Agree;Buckets,                                   Slipper,                    Snack Bag;No Alternatives;Never;Not at all;Always;Always;Always;Outdoor;Often;more than 5;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact and look for the alternative;Yes;Own experience;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
86;Female;Middle Aged;Samnabad;University;Housewife;Strongly Agree;Health;Never degrade;I never saw it;Strongly Agree;Strongly Agree;Neutral;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Easily Available;Usually;1- 10;Always;Sometimes;Sometimes;Home;Always;more than 5;One time;Always;Carry it with you to dispose of later or when you reach home;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
87;Female;Young;Cantonement;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Neutral;Strongly Agree;Agree;Bottle,                          Bags,  Food containers;Other;Never;1- 10;Never;Never;Often;Outdoor;Usually;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Social media;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
88;Female;Young;Wahga;University;Employee;Strongly Agree;Health;days50;I never saw it;Neutral;Strongly Agree;Strongly Agree;Bottle,                          Bags,                                  Bowls,                                   Slipper,                                 Utensil;Price is Low;Sometimes;1- 10;Usually;Never;Always;Outdoor;Always;Don’t reuse;Didn’t reuse;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Television;Individual behavior change;Strongly Agree;Cloth bag;Strongly Agree
89;Female;Middle Aged;Iqbal Town;Nothing;Housewife;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;No;Strongly Agree;Strongly Agree;Disagree;Bottle,                          Bags,  Food containers,                    Snack Bag;Easily Available;Never;1- 10;Never;Never;Always;Outdoor;Sometimes;Don’t reuse;Didn’t reuse;Always;Dump in near by trash can;Ignore it;Sort through proper channels;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Paper bag;Strongly Agree
90;Female;Middle Aged;Ravi;University;Employee;Strongly Agree;Health;Never degrade;No;Strongly Agree;Agree;Agree;Bottle;Easily Available;Never;1- 10;Usually;Always;Always;Outdoor;Usually;One time;One time;Always;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
91;Male;Young;Iqbal Town;College;Student;Strongly Agree;Marine life;Never degrade;Yes;Strongly Agree;Neutral;Neutral;Food containers;Easily Available;Often;1- 10;Always;Usually;Usually;Home;Usually;more than 5;Few weeks;Usually;Dump in near by trash can;Always pick it up;Burning;Yes;I think about negative impact and look for the alternative;Yes;Institute;Corporate responsibility and sustainability initiatives;Agree;Paper bag;Agree
92;Female;Middle Aged;Data gunj buksh;University;Employee;Agree;Deterioration of Natural Beauty,             Sewage System;Don’t know;Yes;Disagree;Agree;Agree;Bottle;Easily Available;Usually;1- 10;Usually;Usually;Sometimes;Home;Always;One time;Few weeks;Usually;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Disagree;No, I am okay with plastic;Disagree
93;Female;Young;Cantonement;University;Employee;Agree;Health,          Deterioration of Natural Beauty,             Sewage System;days50;No;Agree;Agree;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;No Alternatives;Usually;1- 10;Usually;Sometimes;Never;Outdoor;Usually;One time;Few weeks;Always;Dump in near by trash can;Ignore it;Sort through proper channels;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Strongly Agree
94;Female;Middle Aged;Data gunj buksh;College;Employee;Agree;Deterioration of Natural Beauty;Don’t know;Yes;Agree;Agree;Disagree;Bottle;Easily Available;Always;1- 10;Usually;Always;Often;Home;Always;One time;One time;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Disagree;No, I am okay with plastic;Strongly Disagree
95;Female;Young;Data gunj buksh;University;Working Student;Strongly Agree;Health;days50;No;Agree;Strongly Agree;Agree;Bottle,                              Buckets,  Food containers,                    Snack Bag,                                 Utensil;Easily Available;Sometimes;More than 25;Usually;Sometimes;Sometimes;Home;Sometimes;Don’t reuse;Didn’t reuse;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Agree
96;Female;Young;Iqbal Town;University;Student;Strongly Agree;Health;Don’t know;No;Agree;Agree;Strongly Agree;Bottle;Easily Available;Usually;1- 10;Usually;Sometimes;Sometimes;Home;Often;more than 5;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Television;Government regulations and bans;Agree;Cloth bag;Agree
97;Female;Young;Cantonement;University;Employee;Strongly Agree;Health,          Deterioration of Natural Beauty;days50;No;Agree;Agree;Disagree;Bottle,  Food containers,                    Snack Bag;Price is Low,                         Lightweight,        Easily Available;Often;1- 10;Usually;Always;Usually;Outdoor;Usually;Don’t reuse;Few weeks;Always;Dump in near by trash can;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Neutral;Cloth bag;Strongly Agree
98;Female;Young;Nishter;College;Employee;Agree;Sewage System;Don’t know;I never saw it;Agree;Strongly Agree;Agree;Snack Bag;Easily Available;Often;1- 10;Never;Never;Sometimes;Outdoor;Always;more than 5;One time;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Agree
99;Female;Young;Iqbal Town;College;Working Student;Agree;Health;Don’t know;I never saw it;Agree;Agree;Agree;Food containers;Easily Available;Usually;1- 10;Sometimes;Usually;Sometimes;Home;Always;One time;One time;Always;Dump in near by trash can;Always pick it up;Burning;No;I think about negative impact of plastic but I buy it anyways;Yes;Family /friends;Government regulations and bans;Agree;Cloth bag;Strongly Agree
100;Female;Young;Cantonement;University;Working Student;Agree;Marine life;days50;No;Neutral;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low;Usually;11 - 25;Usually;Often;Never;Office;Always;One time;Few weeks;Always;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sort through proper channels;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Agree;Cloth bag;Agree
101;Female;Young;Ravi;College;Student;Strongly Agree;Health;Never degrade;I never saw it;Agree;Strongly Disagree;Strongly Agree;Bottle;Easily Available;Usually;Not at all;Usually;Never;Never;Home;Always;Don’t reuse;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Own experience;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
102;Female;Young;Cantonement;College;Working Student;Strongly Agree;Deterioration of Natural Beauty;500 years;I never saw it;Disagree;Agree;Agree;Bottle;Easily Available;Often;Not at all;Never;Sometimes;Usually;Home;Always;One time;Few weeks;Always;Dump in near by trash can;Ignore it;Sell;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Campaigns;Government regulations and bans;Agree;Cloth bag;Agree
103;Female;Young;Cantonement;College;Working Student;Neutral;Health;500 years;No;Neutral;Agree;Agree;Utensil;Easily Available;Usually;1- 10;Often;Usually;Always;Home;Usually;One time;Few weeks;Usually;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Neutral;Cloth bag;Strongly Agree
104;Female;Young;Nishter;University;Working Student;Strongly Agree;Local economy;Don’t know;No;Agree;Agree;Neutral;Bags;Price is Low;Always;Not at all;Often;Often;Usually;Home;Always;2-1 years;Few months;Usually;Carry it with you to dispose of later or when you reach home;Always pick it up;Burying;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Neutral
105;Female;Young;Nishter;College;Employee;Agree;Sewage System;Don’t know;I never saw it;Agree;Strongly Agree;Agree;Snack Bag;Easily Available;Usually;1- 10;Usually;Never;Sometimes;Outdoor;Usually;One time;One time;Sometimes;Dump in near by trash can;Ignore it;Burning;No;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
106;Female;Young;Iqbal Town;College;Student;Strongly Agree;Health;500 years;No;Strongly Agree;Strongly Agree;Agree;Bottle,                              Buckets,                    Snack Bag;Easily Available;Often;1- 10;Never;Usually;Sometimes;Home;Always;One time;Few weeks;Usually;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;No;I think about negative impact of plastic but I buy it anyways;No;News;Individual behavior change;Agree;Paper bag;Strongly Agree
107;Female;Middle Aged;Data gunj buksh;University;Employee;Agree;Deterioration of Natural Beauty;Don’t know;Yes;Agree;Agree;Strongly Disagree;Bottle,  Food containers;Easily Available;Always;1- 10;Sometimes;Always;Sometimes;Home;Always;One time;One time;Usually;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Neutral;Cloth bag;Agree
108;Female;Young;Shalamar;College;Working Student;Strongly Agree;Deterioration of Natural Beauty;Don’t know;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,  Food containers;Easily Available;Always;1- 10;Usually;Usually;Usually;Outdoor;Usually;more than 5;One time;Always;Carry it with you to dispose of later or when you reach home;Always pick it up;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
109;Female;Young;Ravi;College;Employee;Agree;Deterioration of Natural Beauty;Don’t know;I never saw it;Agree;Agree;Agree;Bottle;Lightweight;Sometimes;1- 10;Often;Usually;Usually;Outdoor;Often;Don’t reuse;One time;Usually;Dump in near by trash can;Ignore it;Burning;Yes;I think about negative impact and look for the alternative;Yes;Social media;Government regulations and bans;Agree;Cloth bag;Disagree
110;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Don’t know;Yes;Neutral;Agree;Neutral;Bottle,                          Bags,  Food containers,                                   Slipper,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Sometimes;1- 10;Sometimes;Sometimes;Usually;Home;Usually;Don’t reuse;Few months;Always;Dump in near by trash can;Ignore it;Sort through proper channels;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Individual behavior change;Strongly Agree;Cloth bag;Disagree
111;Female;Young;Nishter;University;Working Student;Agree;Health;days50;No;Agree;Agree;Agree;Bottle;Easily Available;Usually;1- 10;Sometimes;Often;Usually;Outdoor;Usually;Don’t reuse;Few weeks;Usually;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Other;Agree;Cloth bag;Strongly Agree
112;Male;Middle Aged;Data gunj buksh;University;Employee;Strongly Agree;Marine life,                            Health,             Sewage System;500 years;I never saw it;Agree;Strongly Agree;Neutral;Bottle;Price is Low,                         Lightweight;Sometimes;Not at all;Never;Never;Never;Outdoor;Sometimes;more than 5;Few months;Often;Dump in near by trash can;Ignore it;Sort through proper channels;No;I think about negative impact of plastic but I buy it anyways;No;Campaigns;Individual behavior change;Strongly Agree;Cloth bag;Agree
